목록키,목록유형,목록명,파일데이터명,분류체계,제공기관코드,제공기관,관리 부서명,관리부서 전화번호,보유근거,수집방법,업데이트 주기,차기 등록 예정일,매체유형,전체행,확장자(데이터포맷),키워드,다운로드_활용신청건수,등록일,수정일,데이터 한계,제공형태,설명,기타 유의사항,공간범위,시간범위,비용부과유무,비용부과기준 및 단위,이용허락범위,API 유형,신청가능 트래픽,심의 유형,조회수,목록 URL,국가중점여부,표준데이터여부
15000615,FILE,충청남도 서산시_화물운수 업체 정보,충청남도 서산시_화물운수 업체 정보_20250620,교통물류 - 도로,4530000,충청남도 서산시,스마트정보과,`0416603183,-,-,연간,2026-06-20,텍스트,78,csv,"화물,운수,운송,물류업체,운송사업자",1209,2013-11-20,2025-06-20,-,공공데이터포털에서 다운로드(원문파일등록),"이 데이터는 서산시 관내에서 화물운송업을 수행하는 업체의 기본 현황을 수록한 자료이다. 수록 항목은 업체명, 소재지, 대표자, 전화번호로 구성되며, 관내 화물운송사업자의 식별 및 정보 제공을 목적으로 한다. 업체명은 정식 등록된 상호를 기준으로 하며, 소재지는 주된 사무소 또는 영업장이 위치한 행정구역 주소를 나타낸다. 대표자는 업체의 책임자로서 행정상의 주요 연락 및 법적 책임 주체가 되며, 전화번호는 민원 대응 및 관련 행정업무 수행을 위한 연락 수단이다. 본 자료는 지역 내 운송업체의 실태 파악, 시민 정보 제공, 물류 관련 정책 수립 등에 활용 가능하다. 데이터는 행정 절차에 따라 갱신되며, 정보의 최신성과 정확성 확보를 위해 지속적으로 관리된다.",전화번호는 개인정보인 경우 생략되었습니다.,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,4137,https://www.data.go.kr/data/15000615/fileData.do,N,N
15000617,FILE,충청남도 서산시_의료기관현황,충청남도 서산시_의료기관현황_20250428,보건의료 - 보건의료,4530000,충청남도 서산시,스마트정보과,`0416603183,-,-,연간,2026-04-28,텍스트,182,csv,"병원,의원,한의원,의료인프라,보건기관",1495,2013-11-19,2025-06-20,-,공공데이터포털에서 다운로드(원문파일등록),"충청남도 서산시에서 제공하는 본 데이터는 관내 의료기관의 위치, 분류, 시설 현황 등을 정리한 자료이다. 항목은 보건소명, 의료기관종별, 의료기관명, 의료기관 우편번호, 의료기관 주소, 의료기관 전화번호, 병상, 데이터 기준일로 구성되며, 시민의 의료 접근성과 지역 보건 정책 수립에 활용된다. 본 데이터는 병원, 의원, 요양병원 등 다양한 의료기관 정보를 포함하며, 의료 수요 분석, 응급대응계획, 감염병 관리 등 보건행정에 기초자료로 사용된다. 또한 병상 수 및 의료시설 분포 파악을 통해 지역 간 의료격차 해소와 자원 배분에 기여할 수 있다. 데이터는 정기적으로 갱신되며, 공공기관과 시민 모두에게 활용 가능한 의료 정보로 제공된다.",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,5573,https://www.data.go.kr/data/15000617/fileData.do,N,N
15000622,FILE,경상남도 하동군_에너지공급시설DB,경상남도 하동군_에너지공급시설DB_20231229,재정금융 - 산업금융,5440000,경상남도 하동군,경상남도 하동군 기획행정국 행정과,`0558802209,-,-,연간,2025-01-03,텍스트,63,csv,"에너지,가스,기름",949,2013-10-29,2024-01-03,-,공공데이터포털에서 다운로드(원문파일등록),"하동군 관내 에너지공급시설 현황정보 데이터 정보로 에너지공급시설에 대한 상호명, 위치, 전화번호 등의 정보를 제공합니다.",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,3242,https://www.data.go.kr/data/15000622/fileData.do,N,N
15000625,FILE,경기도 성남시_비상급수시설_현황,경기도 성남시_비상급수시설_현황_20250605,재난안전 - 안전관리,3780000,경기도 성남시,정책기획과,`03115773100,-,-,연간,2026-06-05,텍스트,119,csv,"생활용수,비상용수,음용수,재난용,비상식수,지하수",1032,2019-10-08,2025-06-05,-,공공데이터포털에서 다운로드(원문파일등록),"성남시 비상급수시설 현황에 대한 데이터로 구별,시설명,위치,규모,수질구분,유형 등의 항목으로 구성되어 있습니다. 성남시는 재난이나 단수 등 긴급상황 발생 시 시민들에게 안전한 식수를 공급하기 위해 비상급수시설을 구축하고 있으며, 이는 재난 대비 기반시설의 중요한 일환이다. 현재 성남시에는 주요 행정동별로 분산 설치된 비상용 지하수 개발시설, 비상급수전용 수도관, 비상급수탱크, 급수차 연결장치 등 다양한 형태의 시설이 운영되고 있다. 이들 시설은 주로 주민센터, 공공청사, 학교, 공원 등 접근이 용이하고 인구 밀집도가 높은 지역을 중심으로 배치되어 있다.",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,3465,https://www.data.go.kr/data/15000625/fileData.do,N,N
15000635,FILE,경기도 성남시_마을버스 노선대장 목록정보,경기도 성남시_마을버스 노선대장 목록정보_20200805,교통물류 - 도로,3780000,경기도 성남시,정책기획과,`03115773100,-,-,수시,-,텍스트,49,xls,"버스정류장,기점,종점,운행현황,운행체계,교통노선",282,2020-06-12,2025-11-20,-,기관자체에서 다운로드(제공데이터URL기재),"성남시의 마을버스 노선 대장에 대한 데이터로 노선번호, 노선유형, 기점, 경유지, 총점, 운행거리 등의 항목을 제공합니다. ‘경기도 성남시_마을버스 노선대장 목록정보’ 데이터는 성남시에서 운행 중인 마을버스 노선의 기본 구조와 세부 정보를 체계적으로 정리한 자료입니다. 이 데이터에는 운영에 필요한 핵심 정보가 포함되어 있습니다. 또한 노선별 정류장 위치, 운영 업체, 운행 회차와 같은 세부 내용도 제공하여 시민들이 대중교통을 효율적으로 이용할 수 있도록 돕습니다. 행정적으로는 교통 취약지역 발굴, 노선 조정 및 개선, 대중교통 서비스 품질 향상 등을 위한 기초자료로 적극 활용될 수 있습니다. 이를 통해 성남시의 생활권 교통 환경을 이해하고, 보다 편리하고 안전한 마을버스 운행체계를 구축하는 데 중요한 역할을 하는 데이터입니다.",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,3771,https://www.data.go.kr/data/15000635/fileData.do,N,N
15000644,FILE,충청남도 서산시_소독업체현황,충청남도 서산시_소독업체현황_20250423,보건의료 - 보건의료,4530000,충청남도 서산시,스마트정보과,`0416603183,-,-,연간,2026-04-22,텍스트,31,csv,"소독,방역,해충,방염,지역건강",986,2013-11-19,2025-06-20,-,공공데이터포털에서 다운로드(원문파일등록),"본 데이터는 충청남도 서산시에 등록된 소독업체 현황에 관한 정보로, 항목은 소독업소명칭과 사무실소재지로 구성되어 있다. 서산시청은 감염병 예방 및 위생 강화를 위해 등록된 방역업체 정보를 수집·제공하고 있으며, 본 자료는 시민이 지역 내 소독업체를 쉽게 파악하고 활용할 수 있도록 지원하는 데 목적이 있다. 또한 본 데이터는 민간 방역업체의 현황 관리, 민원 응대, 행정업무 활용 등 다양한 분야에서 기초자료로 활용된다. 서산시는 공공위생 향상을 위해 위생 관련 정보를 지속적으로 개방하고 있으며, 시민과 행정기관 간의 정보 접근성과 투명성을 높이는 데 기여한다. 이 자료를 통해 소독서비스 제공자에 대한 위치 및 현황 정보를 한눈에 확인할 수 있다.",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,3439,https://www.data.go.kr/data/15000644/fileData.do,N,N
15000645,FILE,충청남도 서산시_아파트현황,충청남도 서산시_아파트현황_20250417,국토관리 - 주택,4530000,충청남도 서산시,스마트정보과,`0416603183,-,-,연간,2026-04-17,텍스트,111,csv,"아파트,공동주택,주택,공동주택정보,단지현황",1702,2013-11-19,2025-06-20,-,공공데이터포털에서 다운로드(원문파일등록),"이 데이터는 충청남도 서산시 관내 아파트 단지 현황을 정리한 공공자료이다. 항목은 행정읍면동, 단지명, 도로명주소, 동수, 세대수, 층수, 형태, 사용검사년도, 전용면적 종류, 위도, 경도, 데이터기준일로 구성되며, 공동주택 분포와 구조 파악에 활용된다. 행정읍면동은 단지가 속한 행정구역, 단지명은 아파트 명칭, 도로명주소는 위치 정보이다. 동수와 세대수는 단지 규모를, 층수는 최고층을, 형태는 주거유형을 의미한다. 사용검사년도는 입주 승인 시기이며, 전용면적 종류는 주택 면적 구성을 나타낸다. 위도와 경도는 공간분석에 활용된다. 본 자료는 주거정책 수립, 도시계획, 통계 작성 등에 활용되며, 데이터는 서산시청에서 수집·관리하고 정기적으로 갱신된다.",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,6337,https://www.data.go.kr/data/15000645/fileData.do,N,N
15000655,FILE,충청남도 서산시_토지통계,충청남도 서산시_토지통계_20250331,공공행정 - 일반행정,4530000,충청남도 서산시,스마트정보과,`0416603183,-,-,연간,2026-03-31,텍스트,55,csv,"토지,부동산통계,지목별통계,토지이용,도시계획",1139,2013-12-12,2025-06-20,-,공공데이터포털에서 다운로드(원문파일등록),"충청남도 서산시에서 제공하는 본 데이터는 시 관할 구역 내 다양한 용도의 토지 현황을 통계적으로 정리한 자료이다. 항목은 토지의 전체 면적 합계를 비롯하여 전(밭), 답(논), 임야(산), 대지, 공장 용지, 공원, 체육 용지, 기타로 구분된 토지 유형별 면적 정보와 데이터 기준일로 구성된다. 본 데이터는 토지이용 실태를 파악하고 지역개발, 도시계획, 환경보전 등의 행정업무 수행에 필요한 기초자료로 활용된다. 각 용도별 토지 면적 분포를 비교하거나 토지 변경 추이를 분석함으로써 정책 수립과 부동산 관리, 국토 이용의 효율성 향상에도 기여할 수 있다. 데이터는 정기적으로 갱신되며, 공공기관, 민간 연구자, 일반 시민 모두에게 유용한 지역 공간정보로 제공된다.",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,3871,https://www.data.go.kr/data/15000655/fileData.do,N,N
15000665,FILE,충청남도 서산시_부동산중개업소정보,충청남도 서산시_부동산중개업소정보_20250428,국토관리 - 지역및도시,4530000,충청남도 서산시,토지관리과,`0416602277,-,-,연간,2026-04-28,텍스트,296,csv,"부동산중개,공인중개사,부동산거래,부동산시장,중개업체현황",1335,2013-12-18,2025-06-20,-,공공데이터포털에서 다운로드(원문파일등록),"충청남도 서산시에서 제공하는 본 데이터는 관내 부동산중개업소의 등록 및 운영 현황을 수록한 자료이다. 항목은 중개사무소명, 개설등록번호, 개업공인중개사종별구분, 소재지도로명주소, 전화번호, 개설등록일자, 공제가입유무, 대표자명, 데이터기준일자로 구성되며, 부동산 거래의 신뢰성과 소비자 보호를 위한 기초정보로 활용된다. 중개업소의 위치, 등록 상태, 공제가입 여부 등을 확인할 수 있어 이용자와 행정기관 모두에 유익하다. 또한 불법 중개 예방, 지역 내 업소 분포 파악, 행정점검, 민원 대응 등의 분야에도 기초자료로 활용된다. 데이터는 정기적으로 갱신되며, 부동산 행정업무와 정책 수립에 필요한 공공정보로 제공된다.",전화번호 공란은 개인정보입니다.,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,4958,https://www.data.go.kr/data/15000665/fileData.do,N,N
15000677,FILE,충청남도 서산시_공중위생업소,충청남도 서산시_공중위생업소_20250414,보건의료 - 보건의료,4530000,충청남도 서산시,스마트정보과,`0416603183,-,-,연간,2026-04-18,텍스트,881,csv,"미용,위생,세탁,위생업종,이발소",2226,2016-05-18,2025-06-20,-,공공데이터포털에서 다운로드(원문파일등록),"본 데이터는 서산시에 영업허가된 공중위생업소(이발소, 미용실, 세탁소, 목욕탕, 사우나, 네일아트, 피부관리샵) 현황을 제공한다. 항목은 업종명, 업소명, 영업소 주소로 구성되며, 업종명은 업소의 종류, 업소명은 등록된 상호, 주소는 도로명 기준 위치 정보를 의미한다. 본 자료는 위생관리 정책 수립, 점검 대상 선정, 시민 정보 제공 등에 활용된다. 서산시청이 정기적으로 데이터를 수집·갱신하며, 최신 업소 정보를 반영한다. 이 데이터는 시민의 청결하고 안전한 시설 이용을 도우며, 위생업소의 서비스 품질 향상과 행정 투명성 제고에 기여한다. 관련 기관은 지역 내 업소 분포 및 업종별 현황 분석을 위한 기초자료로 활용할 수 있다.",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,3620,https://www.data.go.kr/data/15000677/fileData.do,N,N
15000680,FILE,충청남도 서산시_자동차 대여업소(렌트카)정보,충청남도 서산시_자동차 대여업소(렌트카)정보_20250620,교통물류 - 도로,4530000,충청남도 서산시,스마트정보과,`0416603183,-,-,연간,2026-06-20,텍스트,24,csv,"렌트,대여,렌트카,렌터카업체,교통서비스",2040,2015-04-07,2025-06-20,-,공공데이터포털에서 다운로드(원문파일등록),"이 데이터는 서산시 관내 자동차 대여업체의 기본 정보를 제공하는 공공자료이다. 수록 항목은 업체명, 대표자, 소재지, 전화번호, 위도, 경도로 구성되며, 지역 내 대여업소 파악과 시민 정보 제공을 목적으로 한다. 업체명은 등록된 명칭이며, 대표자는 실제 운영 책임자이다. 소재지는 사업장의 위치를 의미하고, 전화번호는 예약이나 문의를 위한 연락처이다. 위도와 경도는 지도 기반 검색과 위치 확인에 사용된다. 본 자료는 행정기관의 업소 관리, 시민의 대여업소 조회, 교통 정책 수립, 위치기반 앱 개발 등에 활용된다. 데이터는 최신 정보 유지를 위해 정기적으로 갱신되며, 서산시 교통 인프라 활용도 증대와 민간 서비스 개선에 기여하는 기반 자료이다.",전화번호는 개인정보인 경우 생략되었습니다.,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,4485,https://www.data.go.kr/data/15000680/fileData.do,N,N
15000681,FILE,충청남도 서산시_자동차 매매업소,충청남도 서산시_자동차 매매업소_20250501,교통물류 - 도로,4530000,충청남도 서산시,스마트정보과,`0416603183,-,-,연간,2026-05-02,텍스트,27,csv,"자동차매매,매매상사,중고차,중고차시장,상업정보",3095,2013-11-20,2025-06-20,-,공공데이터포털에서 다운로드(원문파일등록),"충청남도 서산시에서 제공하는 본 데이터는 관내 자동차 매매업소의 현황을 정리한 자료이다. 항목은 업체명, 대표자, 소재지, 전화번호, 위도, 경도, 데이터기준일로 구성되며, 시민이 중고차 매매와 관련된 정보를 확인할 수 있도록 제공된다. 본 데이터는 서산시 내 등록된 자동차 매매업소의 위치와 연락처 정보를 포함하고 있어, 차량 구매자와 판매자 간 원활한 거래를 지원한다. 또한 중고차 유통 현황 파악, 민원 대응, 자동차 관련 행정업무에 기초자료로 활용된다. 지역 내 유통업체 분포 분석, 접근성 평가, 소비자 보호 정책 수립에도 참고자료가 된다. 데이터는 정기적으로 갱신되며, 공공기관과 시민에게 유용한 지역 상업정보로 제공된다.",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,5610,https://www.data.go.kr/data/15000681/fileData.do,N,N
15000684,FILE,경기도 성남시_국가유산(문화재) 현황,경기도 성남시_국가유산(문화재) 현황_20250528,문화관광 - 문화재,3780000,경기도 성남시,정책기획과,`03115773100,-,-,연간,2026-05-28,텍스트,75,csv,"국보,보물,문화재,문화유산,지정문화재,국가문화재",1261,2019-10-25,2025-05-28,-,공공데이터포털에서 다운로드(원문파일등록),"성남시 보유 문화재에 대한 데이터이며, 구분,지정번호,명칭,소유자,소재지,관리단체의 항목으로 구성되어 있습니다. 성남시는 도시화가 빠르게 진행된 지역임에도 불구하고, 역사적 가치를 지닌 국가 지정 및 시 지정 문화재를 다수 보유하고 있다. 국가문화유산포털 기준으로 성남시에는 보물, 사적, 중요무형문화재 등 다양한 유형의 국가유산이 존재한다. 불교 문화유산, 전통 가옥 등도 문화재로 지정되어 있다. 성남시는 문화재의 보존·정비는 물론, 역사문화 탐방로 조성, 해설사 운영, 시민 참여 프로그램 등을 통해 지역문화유산을 적극적으로 활용하고 있습니다.",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,3992,https://www.data.go.kr/data/15000684/fileData.do,N,N
